Station Name,Line
Finch,1
North York Centre,1
Sheppard-Yonge (1 YONGE-UNIVERSITY),1
York Mills,1
Lawrence,1
Eglinton,1
Davisville,1
St Clair,1
Summerhill,1
Rosedale,1
Bloor-Yonge (1 YONGE-UNIVERSITY),1
Wellesley,1
College,1
Dundas,1
Queen,1
King,1
Union,1
St Andrew,1
Osgoode,1
St Patrick,1
Queen's Park,1
Museum,1
St George (1 YONGE-UNIVERSITY),1
Spadina (1 YONGE-UNIVERSITY),1
Dupont,1
St Clair West,1
Eglinton West,1
Glencairn,1
Lawrence West,1
Yorkdale,1
Wilson,1
Sheppard West,1
Downsview,1
Finch West,1
York University,1
Pioneer Village,1
Highway 407,1
Vaughan,1
Kipling,2
Islington,2
Royal York,2
Old Mill,2
Jane,2
Runnymede,2
High Park,2
Keele,2
Dundas West,2
Lansdowne,2
Dufferin,2
Ossington,2
Christie,2
Bathurst,2
Spadina (2 BLOOR-DANFORTH),2
St George (2 BLOOR-DANFORTH),2
Bay,2
Bloor-Yonge (2 BLOOR-DANFORTH),2
Sherbourne,2
Castle Frank,2
Broadview,2
Chester,2
Pape,2
Donlands,2
Greenwood,2
Coxwell,2
Woodbine,2
Main Street,2
Victoria Park,2
Warden,2
Kennedy (2 BLOOR-DANFORTH),2
Sheppard-Yonge (4 SHEPPARD),4
Bayview,4
Bessarion,4
Leslie,4
Don Mills,4
Kennedy (3 SCARBOROUGH),3
Lawrence East,3
Ellesmere,3
Midland,3
Scarborough Centre,3
McCowan,3
